participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
10,167,2,2,2,2,2,4,3.34E+18,18,Llama-2-70B,plan_write
11,167,2,2,3,2,2,2,3.34E+18,18,Llama-2-70B,plan_write
15,167,2,3,3,2,3,2,3.34E+18,18,Llama-2-70B,plan_write
8,168,5,4,5,4,4,5,iqddj75,4,Human-Intermediate,
10,168,3,3,3,2,3,4,iqddj75,4,Human-Intermediate,
11,168,2,2,2,2,1,4,iqddj75,4,Human-Intermediate,
15,168,2,2,2,2,1,2,iqddj75,4,Human-Intermediate,
8,169,1,1,1,1,1,1,-4.64E+18,2,Mixtral-8x7B,writer_profile
10,169,4,3,3,4,4,3,-4.64E+18,2,Mixtral-8x7B,writer_profile
11,169,2,2,2,2,2,2,-4.64E+18,2,Mixtral-8x7B,writer_profile
15,169,4,5,4,4,3,4,-4.64E+18,2,Mixtral-8x7B,writer_profile
8,170,1,1,1,1,1,1,-5.60E+18,2,GPT-3.5,plan_write
10,170,2,1,1,1,1,1,-5.60E+18,2,GPT-3.5,plan_write
11,170,2,2,2,2,3,2,-5.60E+18,2,GPT-3.5,plan_write
15,170,3,4,3,4,2,3,-5.60E+18,2,GPT-3.5,plan_write
8,171,4,4,5,4,4,5,jhvc2cd,16,Human-Novice,
10,171,3,3,2,3,3,4,jhvc2cd,16,Human-Novice,
11,171,3,2,4,4,2,4,jhvc2cd,16,Human-Novice,
15,171,4,3,3,2,2,3,jhvc2cd,16,Human-Novice,
8,172,2,1,2,1,1,1,1.42E+18,6,Mixtral-8x7B,writer_profile
10,172,1,2,1,2,2,2,1.42E+18,6,Mixtral-8x7B,writer_profile
11,172,2,2,2,2,3,2,1.42E+18,6,Mixtral-8x7B,writer_profile
15,172,3,3,2,3,2,3,1.42E+18,6,Mixtral-8x7B,writer_profile
8,173,1,1,1,1,1,1,1.34E+17,8,Mixtral-8x7B,writer_profile
10,173,2,1,1,1,1,3,1.34E+17,8,Mixtral-8x7B,writer_profile
11,173,2,2,2,2,3,2,1.34E+17,8,Mixtral-8x7B,writer_profile
15,173,4,5,4,4,4,4,1.34E+17,8,Mixtral-8x7B,writer_profile
8,174,5,5,5,3,5,5,jp8kjxr,17,Human-Advanced,
10,174,4,4,4,4,4,5,jp8kjxr,17,Human-Advanced,
11,174,2,3,3,3,3,4,jp8kjxr,17,Human-Advanced,
15,174,2,1,2,2,1,1,jp8kjxr,17,Human-Advanced,
8,175,5,4,5,4,5,5,jilyzhd,5,Human-Novice,
10,175,4,3,3,4,4,5,jilyzhd,5,Human-Novice,
11,175,2,2,3,3,2,4,jilyzhd,5,Human-Novice,
15,175,3,4,3,4,3,4,jilyzhd,5,Human-Novice,
8,176,5,5,5,5,4,5,iums7ds,9,Human-Intermediate,
10,176,4,4,3,4,4,5,iums7ds,9,Human-Intermediate,
11,176,3,3,3,3,2,4,iums7ds,9,Human-Intermediate,
15,176,2,3,3,3,3,2,iums7ds,9,Human-Intermediate,
8,177,4,3,3,3,3,5,iuzbqyy,2,Human-Novice,
10,177,4,4,4,4,4,5,iuzbqyy,2,Human-Novice,
11,177,2,3,3,4,2,4,iuzbqyy,2,Human-Novice,
15,177,2,3,2,3,2,2,iuzbqyy,2,Human-Novice,
8,178,4,3,3,3,4,5,iuv1iu7,2,Human-Advanced,
10,178,3,4,4,4,4,5,iuv1iu7,2,Human-Advanced,
11,178,3,3,4,3,2,4,iuv1iu7,2,Human-Advanced,
15,178,4,5,4,4,4,4,iuv1iu7,2,Human-Advanced,
8,179,2,1,1,1,1,2,-3.58E+18,19,GPT-4,plan_write
10,179,3,4,3,4,3,4,-3.58E+18,19,GPT-4,plan_write
11,179,3,3,3,3,2,4,-3.58E+18,19,GPT-4,plan_write
15,179,2,3,2,2,2,2,-3.58E+18,19,GPT-4,plan_write
8,180,1,1,1,1,1,1,5.44E+18,16,Llama-2-7B,plan_write
10,180,3,2,1,2,2,2,5.44E+18,16,Llama-2-7B,plan_write
11,180,2,2,2,2,2,2,5.44E+18,16,Llama-2-7B,plan_write
15,180,4,4,3,4,3,4,5.44E+18,16,Llama-2-7B,plan_write
8,181,5,5,5,5,5,5,ji6ro49,19,Human-Intermediate,
10,181,4,4,3,4,4,4,ji6ro49,19,Human-Intermediate,
11,181,3,2,4,3,2,4,ji6ro49,19,Human-Intermediate,
15,181,3,3,4,3,2,3,ji6ro49,19,Human-Intermediate,
8,182,1,1,1,1,1,1,2.74E+18,14,Mixtral-8x7B,writer_profile
10,182,3,2,1,2,2,2,2.74E+18,14,Mixtral-8x7B,writer_profile
11,182,2,2,2,2,2,2,2.74E+18,14,Mixtral-8x7B,writer_profile
15,182,3,4,3,4,3,3,2.74E+18,14,Mixtral-8x7B,writer_profile
8,183,1,1,1,1,1,1,3.47E+18,15,Mixtral-8x7B,writer_profile
10,183,2,2,1,1,2,2,3.47E+18,15,Mixtral-8x7B,writer_profile
11,183,2,2,2,2,3,2,3.47E+18,15,Mixtral-8x7B,writer_profile
15,183,2,3,3,3,2,3,3.47E+18,15,Mixtral-8x7B,writer_profile
8,184,1,1,1,1,1,1,-1.18E+18,17,Mixtral-8x7B,plan_write
10,184,1,1,1,1,1,2,-1.18E+18,17,Mixtral-8x7B,plan_write
11,184,2,2,2,2,2,2,-1.18E+18,17,Mixtral-8x7B,plan_write
15,184,3,4,3,4,3,4,-1.18E+18,17,Mixtral-8x7B,plan_write
8,185,1,1,1,1,1,1,8.87E+18,12,GPT-3.5,plan_write
10,185,1,2,2,2,2,2,8.87E+18,12,GPT-3.5,plan_write
11,185,2,2,3,2,2,2,8.87E+18,12,GPT-3.5,plan_write
15,185,2,2,2,2,2,2,8.87E+18,12,GPT-3.5,plan_write
8,186,5,4,4,4,4,5,ja3dbpk,12,Human-Novice,
10,186,2,3,3,3,3,4,ja3dbpk,12,Human-Novice,
11,186,2,2,4,3,2,4,ja3dbpk,12,Human-Novice,
15,186,3,2,2,2,2,2,ja3dbpk,12,Human-Novice,
8,187,5,4,4,4,3,5,ja14bd3,12,Human-Intermediate,
10,187,3,3,3,4,3,4,ja14bd3,12,Human-Intermediate,
11,187,2,2,3,2,2,4,ja14bd3,12,Human-Intermediate,
15,187,3,2,2,1,1,2,ja14bd3,12,Human-Intermediate,
8,188,5,4,4,3,3,5,jp8f1sf,17,Human-Intermediate,
10,188,3,3,2,3,3,4,jp8f1sf,17,Human-Intermediate,
11,188,3,3,4,4,2,4,jp8f1sf,17,Human-Intermediate,
15,188,3,4,2,2,3,3,jp8f1sf,17,Human-Intermediate,
8,189,5,4,4,4,4,5,j3wzrmj,11,Human-Advanced,
10,189,3,3,2,4,3,4,j3wzrmj,11,Human-Advanced,
11,189,3,3,4,4,2,4,j3wzrmj,11,Human-Advanced,
15,189,4,4,3,4,3,4,j3wzrmj,11,Human-Advanced,
8,190,3,3,3,3,3,3,-3.07E+18,19,Llama-2-13B,plan_write
10,190,3,4,2,4,3,4,-3.07E+18,19,Llama-2-13B,plan_write
11,190,3,3,3,3,2,4,-3.07E+18,19,Llama-2-13B,plan_write
15,190,3,4,3,4,3,4,-3.07E+18,19,Llama-2-13B,plan_write
8,191,1,1,1,1,1,1,-2.88E+18,14,GPT-3.5,plan_write
10,191,2,1,1,1,1,1,-2.88E+18,14,GPT-3.5,plan_write
